id,rate,iupac_rate,reaction,category,time_stamp,datasheet
49,1.85D-12*EXP(-1690/TEMP),1.85D-12*EXP(-1690/TEMP),OH + CH4 = CH3O2,categories/saunders-2003-4_1_1-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx_VOC1_HO_CH4.xhtml_mathml.xml
2744,6.6D-12*EXP(-1240/TEMP),none,CL + CH4 = CH3O2,categories/jenkin-1997-3_9_1-master.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/X_VOC2_Cl_CH4.xhtml_mathml.xml
50,2.3D-12*EXP(360/TEMP)*0.999,2.3D-12*EXP(360/TEMP)*0.999,CH3O2 + NO = CH3O + NO2,categories/saunders-2003-4_6_1-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_1_CH3O2_NO.xhtml_mathml.xml
51,2.3D-12*EXP(360/TEMP)*0.001,none,CH3O2 + NO = CH3NO3,categories/saunders-2003-4_6_1-gen-master.htt,2.01103E+13,
52,7.2D-14*EXP(-1080/TEMP)*O2,none,CH3O = HCHO + HO2,categories/saunders-2003-4_8_1-master.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/RO_1_CH3O_O2.xhtml_mathml.xml
53,KMT13,none,CH3O2 + NO2 = CH3O2NO2,categories/saunders-2003-4_6_2-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_9_CH3O2_NO2_M.xhtml_mathml.xml
54,KMT14,none,CH3O2NO2 = CH3O2 + NO2,categories/uncategorised.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_10_CH3O2NO2_M.xhtml_mathml.xml
55,1.2D-12,1.2D-12,CH3O2 + NO3 = CH3O + NO2,categories/saunders-2003-4_6_3-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_19_CH3O2_NO3.xhtml_mathml.xml
56,3.8D-13*EXP(780/TEMP)*(1-1/(1+498*EXP(-1160/TEMP))),3.8D-13*EXP(780/TEMP)*0.9,CH3O2 + HO2 = CH3OOH,categories/saunders-2003-4_6_4-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx_VOC51_HO2_CH3O2.xhtml_mathml.xml
57,2*KCH3O2*RO2*7.18*EXP(-885/TEMP),2*(KCH3O2*7.4D-13*EXP(-520/TEMP))@0.5*RO2,CH3O2 = CH3O,categories/saunders-2003-4_6_5-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_22_CH3O2_CH3O2.xhtml_mathml.xml
58,2*KCH3O2*RO2*0.5*(1-7.18*EXP(-885/TEMP)),2*(KCH3O2*1.03D-13*EXP(365/TEMP))@0.5*RO2,CH3O2 = HCHO,categories/saunders-2003-4_6_5-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_22_CH3O2_CH3O2.xhtml_mathml.xml
59,2*KCH3O2*RO2*0.5*(1-7.18*EXP(-885/TEMP)),2*(KCH3O2*1.03D-13*EXP(365/TEMP))@0.5*RO2,CH3O2 = CH3OH,categories/saunders-2003-4_6_5-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_22_CH3O2_CH3O2.xhtml_mathml.xml
60,4.0D-13*EXP(-845/TEMP),4.0D-13*EXP(-845/TEMP),OH + CH3NO3 = HCHO + NO2,categories/jenkin-1997-3_10_2-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx_VOC38_HO_CH3ONO2.xhtml_mathml.xml
61,J<51>,none,CH3NO3 = CH3O + NO2,categories/saunders-2003-4_4_1-master.htt,2.00403E+13,
62,5.3D-12*EXP(190/TEMP)*0.6,5.3D-12*EXP(190/TEMP)*0.6,OH + CH3OOH = CH3O2,categories/jenkin-1997-3_10_4-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx_VOC34_HO_CH3OOH.xhtml_mathml.xml
63,5.3D-12*EXP(190/TEMP)*0.4,5.3D-12*EXP(190/TEMP)*0.4,OH + CH3OOH = HCHO + OH,categories/jenkin-1997-3_10_4-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx_VOC34_HO_CH3OOH.xhtml_mathml.xml
64,J<41>,none,CH3OOH = CH3O + OH,categories/saunders-2003-4_4_1-master.htt,2.00403E+13,
65,6.9D-12*EXP(-1000/TEMP),6.9D-12*EXP(-1000/TEMP),OH + C2H6 = C2H5O2,categories/saunders-2003-4_1_1-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx_VOC4_HO_C2H6.xhtml_mathml.xml
2745,8.3D-11*EXP(-100/TEMP),none,CL + C2H6 = C2H5O2,categories/jenkin-1997-3_9_1-master.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/X_VOC5_Cl_C2H6.xhtml_mathml.xml
66,2.55D-12*EXP(380/TEMP)*0.991,2.55D-12*EXP(380/TEMP)*0.991,C2H5O2 + NO = C2H5O + NO2,categories/saunders-2003-4_6_1-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_2_C2H5O2_NO.xhtml_mathml.xml
67,2.55D-12*EXP(380/TEMP)*0.009,2.55D-12*EXP(380/TEMP)*0.014,C2H5O2 + NO = C2H5NO3,categories/saunders-2003-4_6_1-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_2_C2H5O2_NO.xhtml_mathml.xml
68,2.4D-14*EXP(-325/TEMP)*O2,none,C2H5O = CH3CHO + HO2,categories/saunders-2003-4_8_1-master.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/RO_2_C2H5O_O2.xhtml_mathml.xml
69,KRO2NO3,2.3D-12,C2H5O2 + NO3 = C2H5O + NO2,categories/saunders-2003-4_6_3-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_20_C2H5O2_NO3.xhtml_mathml.xml
70,4.3D-13*EXP(870/TEMP),4.3D-13*EXP(870/TEMP),C2H5O2 + HO2 = C2H5OOH,categories/saunders-2003-4_6_4-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx_VOC53_HO2_C2H5O2.xhtml_mathml.xml
71,2*(KCH3O2*6.4D-14*(TEMP/300)@0*EXP(0/TEMP))@0.5*RO2*0.6,2*(KCH3O2*6.4D-14*(TEMP/300)@0*EXP(0/TEMP))@0.5*RO2*2*0.6,C2H5O2 = C2H5O,categories/saunders-2003-4_6_5-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_26_C2H5O2_C2H5O2.xhtml_mathml.xml
72,2*(KCH3O2*6.4D-14*(TEMP/300)@0*EXP(0/TEMP))@0.5*RO2*0.2,2*(KCH3O2*6.4D-14*(TEMP/300)@0*EXP(0/TEMP))@0.5*RO2*2*0.2,C2H5O2 = CH3CHO,categories/saunders-2003-4_6_5-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_26_C2H5O2_C2H5O2.xhtml_mathml.xml
73,2*(KCH3O2*6.4D-14*(TEMP/300)@0*EXP(0/TEMP))@0.5*RO2*0.2,2*(KCH3O2*6.4D-14*(TEMP/300)@0*EXP(0/TEMP))@0.5*RO2*2*0.2,C2H5O2 = C2H5OH,categories/saunders-2003-4_6_5-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_26_C2H5O2_C2H5O2.xhtml_mathml.xml
74,6.7D-13*EXP(-395/TEMP),6.7D-13*EXP(-395/TEMP),OH + C2H5NO3 = CH3CHO + NO2,categories/jenkin-1997-3_10_2-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx_VOC39_HO_C2H5ONO2.xhtml_mathml.xml
75,J<52>,none,C2H5NO3 = C2H5O + NO2,categories/saunders-2003-4_4_1-master.htt,2.00403E+13,
