t,ts,RO2HO2,RO2NO,RO2NO2,RO2,HO2,OH,NO3,J,NO,RO2NO3,concs,
28,28,2.8534892655997214e-11,9.579010902269835e-13,0,0.0002177689983067611,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.9788393301288032e-5,0,0,222930.02867118997,
29,29,2.8534892655997214e-11,9.579010902269835e-13,0,0.00020484029898626296,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.9704812325513437e-5,0,0,199796.3260097419,
30,30,2.8534892655997214e-11,9.579010902269835e-13,0,0.00019312839543467685,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.955799483272562e-5,0,0,181199.28783869284,
31,31,2.8534892655997214e-11,9.579010902269835e-13,0,0.00018493223107503553,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.9347980813259866e-5,0,0,166024.71504545692,
32,32,2.8534892655997214e-11,9.579010902269835e-13,0,0.00017579399399158488,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.9074908083042304e-5,0,0,153461.16912810685,
33,33,2.8534892655997214e-11,9.579010902269835e-13,0,0.00016750555795149534,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.8738692823080937e-5,0,0,142917.78122364316,
34,34,2.8534892655997214e-11,9.579010902269835e-13,0,0.00016011527020879187,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.8337996500350915e-5,0,0,133937.76355627505,
35,35,2.8534892655997214e-11,9.579010902269835e-13,0,0.00015331925052629962,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.7870355340812848e-5,0,0,126165.93368290253,
36,36,2.8534892655997214e-11,9.579010902269835e-13,0,0.00014711232570600933,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.7332475213170994e-5,0,0,119343.1782265701,
37,37,2.8534892655997214e-11,9.579010902269835e-13,0,0.00014105309924817856,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.6724522895024104e-5,0,0,113225.5963621385,
38,38,2.8534892655997214e-11,9.579010902269835e-13,0,0.00013548614405828089,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.605125642726859e-5,0,0,107711.5587034058,
39,39,2.8534892655997214e-11,9.579010902269835e-13,0,0.00012996862477933878,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.5318667903724986e-5,0,0,102648.77077543252,
40,40,2.8534892655997214e-11,9.579010902269835e-13,0,0.0001247067307083354,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.4528870006754728e-5,0,0,97909.35318137724,
41,41,2.8534892655997214e-11,9.579010902269835e-13,0,0.00011965362044598607,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.36810333519826e-5,0,0,93468.68792492211,
42,42,2.8534892655997214e-11,9.579010902269835e-13,0,0.00011478584159068479,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.2773382672156424e-5,0,0,89178.0849116702,
43,43,2.8534892655997214e-11,9.579010902269835e-13,0,0.00010970808832642579,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.180211681031098e-5,0,0,84997.91963463908,
44,44,2.8534892655997214e-11,9.579010902269835e-13,0,0.00010470630717207626,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.07633887569287e-5,0,0,80854.20924967961,
45,45,2.8534892655997214e-11,9.579010902269835e-13,0,9.993629724814157e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,1.9660280513366724e-5,0,0,76726.23151421295,
46,46,2.8534892655997214e-11,9.579010902269835e-13,0,9.443626172344332e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,1.8500376038150334e-5,0,0,72567.67298128126,
47,47,2.8534892655997214e-11,9.579010902269835e-13,0,8.928228263494918e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,1.7289997062357147e-5,0,0,68365.96297142733,
48,48,2.8534892655997214e-11,9.579010902269835e-13,0,8.386805874650036e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,1.603307806260697e-5,0,0,64088.28743272028,
49,49,2.8534892655997214e-11,9.579010902269835e-13,0,7.814912202827572e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,1.4734485171309867e-5,0,0,59715.6590717549,
50,50,2.8534892655997214e-11,9.579010902269835e-13,0,7.24746757099726e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,1.3402569104686296e-5,0,0,55248.31097494738,
