,Flux,FluxIn,FluxOut,Closeness,EigenCentrality,PageRank,Betweenness,Authorities,Hubs,x_00,y_00,x_01,y_01,x_02,y_02,x_03,y_03,x_04,y_04,x_05,y_05,x_06,y_06,x_07,y_07,x_08,y_08,x_09,y_09,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14,x_15,y_15,x_16,y_16,x_17,y_17,x_18,y_18,x_19,y_19,x_20,y_20,x_21,y_21,x_22,y_22,x_23,y_23,x_24,y_24,x_25,y_25,x_26,y_26,x_27,y_27,x_28,y_28,x_29,y_29
HMVKANO3,1.27993251853e-08,1.30348425636e-08,1.25588770767e-08,0.999999999969,2.57899154683e-16,0.0160996316356,0.0386663986734,1.61907025052e-17,1.65546686661e-17,11.9105221966,20.600769283,19.7525997531,109.632385626,10.7183225165,40.7441269989,1.99039266599,19.1899487134,-6.0234828853,-16.4119775678,8.1410875261,-13.1615533919,0.881656466531,-3.85572288756,1.39310183132,-19.5800634874,11.4946383671,-28.4225966323,11.636385476,-28.5808702695,18.7199176114,-19.559629876,18.0902854178,-20.2220906223,18.8389729072,-17.6183983567,15.2931532735,-21.5958486705,22.1529631439,-16.7065510608,-10.1410217463,5.48222447041,13.5661786745,-13.7928604086,-4.55053908093,27.5483786613,-6.78969973553,15.2676266151,-6.97447245428,12.7501292492,-10.9550651543,9.93835402169,1.37052509661,19.174159146,2.80626104316,18.4013000444,-6.55483293055,5.43636369008,-6.56640678022,2.96430039156,1.49852323547,21.7984566373,-8.67477025526,0.575046063474,-7.84928790504,0.144482197466,-7.57747354518,-1.12485328377,-6.66802593349,-1.05873603183
HOC2H4CO2H,5.63301148047e-05,2.31034045147e-05,9.0252450817e-05,0.970424096015,0.0,0.00352093754264,0.0,7.18513644447e-19,1.28121033321e-16,17.1892378446,-31.9697229674,25.1525621688,-6.94140488927,37.7210646238,-36.8767514541,51.6560595982,-38.1599791374,41.5292671616,-33.5716440609,31.5258727722,-30.3775290572,45.4650178751,-9.60610667071,33.139091625,-16.2277686239,7.37501606685,-11.3077888062,0.053718309997,-19.3487046745,9.606549531,-10.8811989306,-1.12229730212,7.32419117153,-0.873470654992,8.32034116337,2.01822056585,-18.6374811755,5.47891629074,-20.3668132582,19.2756700593,2.82780667127,1.70311186138,0.911698544408,26.0505759131,6.95623185756,26.5446028788,5.17241546783,20.9828472801,4.96397082166,16.4047521145,5.99464916476,13.6182909848,9.53956968165,15.2567364217,6.02793109314,3.34073641563,17.8744216701,9.78036129053,5.43848020985,11.1683363235,8.05615085901,12.2928646401,4.76909311159,12.6741448202,5.0144353023,9.6543495964,3.92603076504,9.92755677197,6.59263461206
DIEKBNO3,9.08510801132e-07,1.09309444509e-06,7.2006276225e-07,0.998900223301,0.0,0.00165782802102,0.00669983082927,3.14953357074e-18,2.59131391749e-18,-15.7286559703,30.24548263,-77.834187877,38.7966802422,-31.2058339709,-19.2900493289,-38.8581149898,23.0266456074,-19.1373285704,26.207277417,-0.573084940578,20.0423111599,-9.77357882781,15.6146101353,-20.2884259812,17.1534825873,20.82538195,-29.8372388255,18.4023595006,-33.0927416059,18.4464527497,-31.9477733623,18.7864546798,-30.7834884727,14.673811275,-27.8600260641,22.6283304675,-22.8121486371,11.9473120849,-13.0040953698,-0.0148203090945,27.5423020005,0.675979866817,-12.9779279051,4.46499477892,21.7780419441,0.92783037848,28.038622064,0.615927617331,27.4569682699,3.28360867688,27.0434239681,10.7153276792,26.8594274764,7.7189299691,28.2894768207,3.37538046025,2.0408459873,2.71391428307,0.0809661542595,10.9984577121,22.2460320274,1.70199858373,0.129088257205,2.56843169772,0.575067087887,2.70247217949,-2.21096952952,1.46387696968,-2.23862907683
HO1CO3C5,2.30537774155e-06,2.31988651261e-06,2.29056521864e-06,0.999996721535,0.0,0.00307609779299,0.00220256938512,8.01157342333e-18,4.9309315447e-18,-4.92093744664,-18.0679693087,-75.9398491119,13.7115269794,-37.817682489,11.1663535298,28.2958447994,32.4809550842,19.5175718391,32.6826048806,25.9927770277,20.23677785,25.0082821945,25.0280036267,14.4824831266,20.7235520781,-0.896605677075,5.66538938285,-1.86075284662,9.11305043535,-8.66131858179,7.35195680488,-7.33171499602,4.62472740134,-6.48273248506,-0.683948442711,-8.22724821758,2.36967309979,-10.7979842763,8.88333661457,3.34570312387,10.8103862568,-13.8871648207,13.4468587487,-2.71731284003,10.8393792988,2.94544746636,11.0092703466,1.72491458607,8.79186502952,-1.20876617605,10.7589555406,-5.12535562892,7.06369407903,-5.88664855693,4.79550868389,15.643034449,-14.2759211206,16.1109721674,-13.7800842752,-6.51617738896,7.78667670179,15.0596240373,-13.9371369368,14.5853523911,-14.3594646463,16.524685986,-13.4692637412,12.3124541756,-14.1317499218
CO23C54O2,0.000248265294943,0.000251126389486,0.000245344301272,0.898633409563,0.0,0.00727299843075,0.00679195350317,1.45936430078e-13,0.0,-5.44548561039,-0.107639067748,-32.3405776242,39.3663495532,-24.6220104228,4.28706487472,-28.1861438566,16.9286537333,-29.813986006,25.8452572256,-18.3806128035,-6.61671809759,-22.1841278676,-8.98460790616,-7.81254381201,0.845664353671,-1.32518300236,20.7772644878,-13.6435773355,15.8531967661,-4.93983991127,13.7390507043,6.3653398742,11.2335903936,4.44192581347,-3.10716243006,6.60718544087,-8.20780784868,3.4082370609,-8.44738080109,26.2399233857,7.49651734473,7.53640024811,-3.73004283565,19.3706893728,11.1745685832,22.0563048948,10.2153080661,20.5148958019,12.8231656558,17.99095807,12.9563159787,18.1811361034,14.9515871623,16.5272312649,12.4328792454,-1.58992754804,13.3442379196,4.05531907237,7.68887986771,16.8281937804,10.2178822426,6.32079054759,6.19618489821,7.02448885409,6.38139135723,4.17594168033,4.30361749706,4.01983560773,5.72945120145
PAN,0.151033911591,0.149561318055,0.152537334961,0.81805606866,5.76493987742e-11,0.597616588683,0.0,7.96449022741e-06,1.7520521056e-06,15.8599908659,4.29233264135,-60.4339946311,36.2930646353,3.32843475832,-50.3895521346,-7.90580164892,-63.8212181007,-2.01420410754,-57.2520141812,18.7169700423,-19.4659705576,11.2941512711,-5.11878874106,44.1344101901,-30.0547964586,-15.3337550386,2.9821024625,8.25510308111,-8.38975911106,21.6792937797,-7.34123028547,0.37160677269,-5.96244381091,8.45108762234,-14.9625272959,12.9634379795,2.10887261657,8.941704817,5.52983229279,-24.4828374687,1.47478062705,-0.0966432955929,11.3761953018,-21.3225986137,6.32136642124,-23.4638319147,3.64968042001,-18.9610183706,4.71908460489,-25.4648923632,3.56982046874,-22.7845466275,14.1563503191,-19.4620198262,16.2551451618,-23.4920418721,4.91732448901,-22.9789092899,7.23072505085,-22.7580079131,2.33662858818,-21.5251598759,6.93076947327,-21.0208588345,7.65612259712,-20.7181628716,8.3220088963,-18.9719322346,6.57918502018
ISOPCO2,3.18436250718e-06,3.16309089568e-06,3.20607945558e-06,0.999999877806,0.0,0.00301439691617,0.00631459055659,1.11611069941e-17,5.68602041557e-18,-31.1889979452,-17.4886692721,-79.3521127591,-56.9869263946,16.3023639648,-10.7861569408,16.2023826665,9.32405638502,9.54824002874,20.6607438007,2.89064462484,12.2208493532,-11.4706752524,11.172813677,-14.4991047424,18.2858658843,9.55916415159,4.68535550226,-13.3979783921,-12.2699656177,-13.5387487258,-7.11868844365,-18.608354178,-8.4985414427,10.2884051148,-23.5719613414,4.28046483846,1.99003105541,-0.162239069182,-13.1125776355,-0.548887904455,24.5645888789,0.183448506854,-15.4346004558,1.79564457754,20.1139310953,1.52055716054,25.506083168,2.47107956636,25.9032912183,5.88159753297,25.889480715,11.1064254538,24.688288819,8.84088075715,26.5209140449,3.2712748071,-1.30944744141,2.43465608275,-0.667283757225,9.59480284202,20.8704585726,1.65284066374,-1.77422682193,2.47919944673,-1.22042037823,2.58934910186,-3.96467138058,3.37984800596,-3.29664338773
BIACET,0.00219659294963,0.00221895040096,0.00217376742853,0.987745867589,0.0,0.0116976557636,0.0115823325461,9.53008273083e-14,3.74008868539e-09,-20.0585127666,7.60249924469,-29.0532996681,59.968622569,-11.7864903477,39.6646826107,-24.1775870034,30.9652770443,-41.3644875827,17.0695391398,-37.1662595166,17.6476316204,-37.1440341472,20.8222795171,-38.5400164796,9.67856987501,3.92359757205,-21.6288487188,16.1258821562,-18.1925561675,29.0412785762,-17.9509017625,24.7777838614,-12.6998333335,26.2657830916,-11.3738168507,12.4946547283,-16.5715886679,15.9323759751,-18.3272712752,8.85516135083,3.69461263587,7.71368611651,-17.0311763701,13.8900202101,19.0692628558,11.9815465858,18.5832688275,9.68880003157,16.3267652443,7.39410921419,14.613812711,6.32587018232,12.6696490687,7.28038802875,15.6382884401,-8.49778381322,-1.9623441985,-8.02077822998,-3.96283453874,4.35591162981,14.9958954141,-8.1449186262,-5.04333431003,-6.72560178083,-5.15359831539,-7.06060048388,-6.25604565012,-7.34408095434,-6.78300771716
C526O,1.01937851723e-10,3.28910911272e-13,2.05674050763e-10,0.999999999899,0.0,0.00179703278946,8.37478853659e-06,5.58055349704e-18,4.67923525441e-18,31.5552786053,-2.5981714123,112.438664664,60.6421564229,37.8837985001,7.99338504395,41.4703161309,1.32803410135,29.1678223851,7.76984748479,27.4258364531,10.306255464,20.5493561715,4.71203610933,36.8379825043,10.4781153114,-13.7096165008,-23.6155321548,-9.39441506344,-23.0238861639,-1.70264293836,-25.0836856459,2.09219822371,-16.5006097467,-11.065002918,-10.8638375277,-7.25326212236,-9.78163586279,-7.02161538883,-4.3296968707,20.4752570395,-16.3861839651,-6.2809381238,2.7251573905,15.4616616709,-9.63186040068,13.4639686088,-10.8187643434,13.1407802677,-11.8514663198,13.4321605768,-11.9919677087,14.6193884187,-10.5562329106,14.4093153658,-12.2010451616,17.0654075816,16.6529040839,15.6220383534,16.0536058642,11.7320118365,-11.2452385731,15.7534209386,15.9300500739,15.1980200836,15.3815351494,15.2110998814,15.3714803305,15.4901535467,14.4294089067
C534O,8.17182785764e-08,7.84811053809e-09,1.57134973145e-07,0.999987875541,0.0,0.0018047248103,0.00127296785756,5.58055349704e-18,2.92966567575e-16,-30.547212097,15.9717888636,-59.9658146768,-11.8085853138,-43.5806188987,49.898252123,10.8523266662,1.67628058727,-5.30295723719,22.153178832,25.0945295773,-5.01265892325,10.8516830304,14.1579959383,16.6809762507,6.07839209116,-27.2476485643,-8.10057379551,-20.8625270668,-2.78932111138,-13.5555068786,-19.5355622428,-5.37424039263,-24.0712307882,-1.72425375774,-15.6890103163,-9.10611998562,-23.5170602761,-7.11552366599,-21.9644251174,-3.76080731864,9.6197981587,-10.1455021673,-11.9065207547,3.38522524273,4.74226566641,5.53305867978,2.67797037307,4.38865874838,1.73148234016,-0.655062374673,3.5287411341,-4.90915080625,0.388794979994,8.69735587459,1.03639623808,10.5554121907,-11.8734800406,11.3802575074,-10.9662120114,8.7902788203,2.07962530685,12.706248436,-7.94399530769,12.0569264301,-8.8952343559,12.0250459904,-10.2686275306,7.0817059304,-18.9016458648
INB1NBCO3H,1.14406428252e-11,1.20786970713e-11,1.07892304423e-11,0.999999999576,0.0,0.00555053639049,0.0,1.07777046667e-18,2.59131391749e-18,15.641893444,-6.41058037427,-98.0577582604,32.1933308649,-44.0012231952,30.7676390305,-17.4985117962,45.196892158,-31.341072189,47.1958691378,-1.19564606912,50.5060171273,-0.118359322983,44.5370453264,1.25513486064,36.9993244751,-33.6528214348,3.97358235352,-35.1982538826,1.02348809915,-30.9720576921,-8.76936924126,-28.5927548177,-10.1856972813,-29.6022732218,-10.3601847954,-26.6367950656,-10.1970750903,-26.5693502584,-9.47192253093,-14.4035278984,-8.23419115999,-23.0358903091,-10.7062948138,-11.0037067764,7.33030379892,-6.41047459312,6.44974114535,-9.93162050718,5.07943909735,-12.3713681151,1.87539597328,-13.9079214333,-4.53493613034,-11.0637705532,-3.35869005946,18.8621443192,-2.35371078343,19.3652356644,-2.11024270631,-7.78771090347,-6.07202432928,21.1045692676,-2.11162000247,20.7632120746,-3.89766514795,19.7882373587,-2.12686242546,20.5219913013,-2.92542171663
H13CO2CHO,1.29617391777e-08,1.27553995294e-08,1.3172398699e-08,0.999999804713,0.0,0.0087871992739,0.00691757533122,6.65832396371e-18,1.09429992652e-17,-18.5855326086,-36.8602886224,-52.7559260234,-75.3078816136,-35.1685584518,-56.0959752889,-30.4360246423,-48.8643360217,-51.0503872964,-25.6570999285,-49.6497181403,-3.04005686807,-44.1238921064,-9.84206317985,-37.509855291,-12.9571726502,33.9102586568,-7.79655924989,31.2103541173,-13.1452439936,33.1709440405,-7.52174155362,29.9929810155,-9.76545159411,28.7405862334,-6.23661796156,23.5399983138,-5.21246618673,27.445187001,-5.18469392155,7.28841541241,20.9050408903,21.1091747477,-4.70749691515,8.29829862062,16.4985404628,9.09643437581,22.1664895066,8.55226364777,20.8410823766,7.37980224598,18.8642464235,8.50249509529,17.00338668,10.7609348865,19.3725780266,-3.9910130576,-2.92506362904,-3.49756721946,-4.95806910996,11.1201336057,15.7830000279,-3.34341281391,-6.44069063671,-2.1120751403,-5.66638880718,-2.40619621027,-7.75014214617,-2.1496074078,-8.3295065754
COHM2CO3,5.73401334648e-08,7.13050065643e-08,4.30828954321e-08,0.99999419503,0.0,0.00693758044574,0.00947188583488,2.15554093334e-18,1.9872428208e-17,-15.3104141138,-26.091398907,18.396431772,8.13554675146,-28.3549220236,13.7545801735,-57.4983684518,1.8460356942,-44.9645590462,0.883706465171,-45.505422816,7.03055715488,-43.8972391824,0.0179189166806,-39.1588122925,-6.36746153392,35.3136435357,-12.5789071945,33.9979218388,-16.6305661861,34.7379449994,-12.2798505086,30.9040666092,-12.9288643767,30.0287244814,-10.0758887055,23.7680525354,-9.02615040939,27.5320950093,-6.00913066829,5.98926684356,23.301111024,20.1514452355,-7.97663075157,7.89183134696,19.1650751801,7.1838458105,20.8370077553,6.11575634231,20.3256049803,5.00097835778,19.7201720613,7.89834154338,19.3432201888,8.95049680734,20.9256240273,-3.26221165266,-0.924500562324,-3.29865609057,-2.96942140935,10.923638039,17.5124043949,-3.45102834931,-4.3955496107,-2.24566692269,-3.57631754327,-2.45375518863,-5.77250727582,-2.59979164005,-6.46154434019
HCOCO3H,9.62542584201e-05,9.59190531777e-05,9.65964814319e-05,0.999999865223,3.82594501048e-20,0.0271200722159,0.00915364387049,1.18892788406e-16,6.88237283178e-14,24.682552364,6.86359417088,89.3621534395,81.0982454229,75.642303774,3.88308428798,48.5964481819,-28.7869174722,56.1008056494,-16.6756219795,49.9574280915,31.3652665987,33.7672060647,5.22478260675,52.5749513497,1.80778616089,20.9450054775,-10.0239939096,-2.41174799338,-9.21113189903,30.5404221472,-5.39408084241,29.549954921,16.1265311024,30.8370414515,10.5395861878,28.2178752026,8.88908930805,27.4159191365,13.8546862708,-24.4167864857,8.0851864328,23.5792995812,16.0614645874,-18.2376948013,2.99822433646,-18.839102884,2.69806828708,-18.7074445455,-0.0666253281067,-23.2929964634,-0.743460515347,-18.7157571521,15.254338664,-15.8912907275,13.290810223,-21.1699304304,7.4853937421,-18.9947953181,10.2366691996,-21.8142729052,-0.951843397542,-18.5596825836,9.48676029978,-17.4418787734,9.83185457372,-16.2881840296,9.40257454786,-16.5741506856,10.636380933
HC4CCO2H,1.20373862124e-10,4.63144833522e-11,1.95983728694e-10,0.99999992325,0.0,0.00165196997794,0.0,1.07777046667e-18,1.751964683e-16,31.8457602321,2.94510611924,23.6633406232,-101.467024962,39.0962181918,-47.2716434417,19.5618319949,-58.0639885535,18.4927209326,-45.9961290818,41.9080684552,-39.0264700788,37.974787777,-29.9050409057,38.795375869,-21.6183849461,-38.1051591427,22.5562999551,-30.0450245074,19.0595916465,-20.2318054585,-12.2251240807,-6.72669343296,-13.059873231,-18.1324718146,-11.7720196779,-15.7270512612,-9.76175525855,-12.8039841352,-9.43277255506,27.0240075882,-17.1820677377,-11.3375057642,-0.746451234417,18.9090293937,-3.89520369119,17.8094195773,-5.50899751786,17.7527523956,-7.99102834946,17.9378236073,-9.86317825177,19.4157953393,-11.293774659,18.7923059538,-10.1076969919,14.820631041,20.734687221,12.5887612324,18.2762139136,16.0103768469,-11.6740201677,13.4963600337,18.8021514882,13.8009627207,18.7261607263,13.2957587157,18.5236870487,14.0029524478,17.4796962774
