"","Flux","FluxIn","FluxOut","Closeness","EigenCentrality","PageRank","Betweenness","Authorities","Hubs"
"C58OOH",3.95573330785199e-08,3.91471366445135e-08,3.99761172778564e-08,0.999999211489248,0,0.00577642223955506,0.000200994924878147,3.14953357074149e-18,2.59131391749382e-18
"C58NO3",9.62015042102817e-10,9.23977595222946e-10,1.0008488310288e-09,0.999999992241552,0,0.00562831406007427,0.00491600087097801,1.11611069940714e-17,5.68602041556691e-18
"C59O",2.52635569602385e-07,1.31303225010829e-07,3.76508096447924e-07,0.999994441768232,0,0.00222556918654136,0.000142371405122021,8.01157342332993e-18,8.22051077292789e-16
"INCCO",1.33530245105901e-06,1.33677018842438e-06,1.33380398552778e-06,0.999938489794505,0,0.0061105400508665,0.00135671574292749,6.29906714148299e-18,1.5101777417378e-18
"NC5H12",0.00169690800155202,0,0.00342934202550716,0.728422504904382,0,0.00164773017391232,0,1.07777046667092e-18,7.55088870868898e-19
"HMVKBO2",8.1165168218224e-06,9.15710938253748e-06,7.05413868723373e-06,0.999994764644052,9.70428047715716e-16,0.00875550848893516,0.0136760296802506,2.36234308746766e-13,9.86186308939602e-18
"CISOPCO",2.32270335405487e-08,3.31020665167817e-09,4.35608339115444e-08,0.999999479696213,0,0.00165095169780329,0.00490762608244142,1.08018501718478e-17,3.59809907865235e-18
"C524O",4.89882489772681e-08,3.38593226267903e-09,9.554528387561e-08,0.999999307463518,0,0.00191510071169199,0,5.58055349703571e-18,4.11739897846122e-10
"PEBNO3",2.11964977361894e-05,2.31356019575683e-05,1.92167969356513e-05,0.932946092896182,0,0.00167640412823778,0,3.82615830055315e-18,1.42150510389173e-18
"INB1GLYOX",8.49981136353606e-10,1.17737104902909e-09,5.15737074035582e-10,0.999999998760396,0,0.00409168157263004,0.00192620136341557,5.58055349703571e-18,1.01879103942831e-17
"CH2CHCH2O",1.06453938663737e-10,1.44588387871869e-11,2.00375023906733e-10,0.999999993829547,0,0.00169772108108027,0.00161633418756176,5.58055349703571e-18,2.84301020778345e-18
"PRONO3AO2",0.000166710153371079,0.000287262528399799,4.3633925327284e-05,0.999556309353841,0,0.00502442883067658,0.0619985595363717,1.13207862822417e-09,4.5579578860736e-17
"HO13C3CO3",9.9272890935473e-06,1.16285758018226e-05,8.19038469140933e-06,0.998595591654078,0,0.0186184048738411,0.000502487312195367,1.45861195577653e-17,1.5101777417378e-18
"C527OOH",2.25919228180813e-11,4.14153772398846e-11,3.37438547435086e-12,0.999999999420534,0,0.00165060549340726,8.37478853658945e-06,8.01157342332993e-18,1.25848145144816e-18
"CONM2CO3H",3.0709281699196e-10,2.59358232493291e-10,3.55826760275403e-10,0.999999868508765,0,0.00575680720946834,0.0144297606485436,8.01157342332993e-18,6.76715659132293e-18
"PEBOH",1.75806041354882e-06,1.74433491231447e-06,1.77207326828961e-06,0.952986584489224,0,0.00164989207917399,0,2.79027674851786e-18,5.03392580579265e-19
"HO2C4OOH",9.98914492032584e-05,9.90897909530956e-05,0.000100709890761019,0.99846157505633,0,0.00655583181086721,0,3.50879039296513e-18,2.84301020778345e-18
"PROPACID",0.000326372809985189,0.000224662263026585,0.000430212742371042,0.771436237176804,0,0.00345584453110723,0,1.75439519648257e-18,8.63529164494293e-16
"C537O2",1.48676163079124e-06,9.87102275951598e-07,1.99688172328886e-06,0.999996149339827,0,0.00215597301412914,0.000586235197561262,8.01157342332993e-18,2.42577913473667e-14
"MACROHO2",8.27924591612401e-07,9.62136120713549e-07,6.90903245016584e-07,0.999992913372873,5.80200849941765e-17,0.00324129400878647,0.167872636215936,1.16648640542101e-15,8.85507792823749e-18
