"","Flux","FluxIn","FluxOut","Closeness","EigenCentrality","PageRank","Betweenness","Authorities","Hubs"
"C57OOH",0.0135524453446751,0.0259616463348669,0.000221216527463633,0.089507183799205,0,0.0178223835099224,0,3.4568807793645e-18,0
"CH2OO",0.000851553941265445,0.000865483363981558,0.000836589535284194,0.959035134200283,0,0.0169232537871703,0.0194068106920542,5.38164696747243e-12,5.4078758311857e-06
"COHM2PAN",4.81170830933423e-05,3.15599963020618e-05,6.59043937135386e-05,0.977887317718823,0,0.00726134161442998,0,2.94479320666626e-15,2.18875930793687e-10
"CH3CHOHCO3",0.000329321110509948,0.000179509851238406,0.000490263638423073,0.939180590605433,0,0.0158534451581026,0.0644452581471988,3.27165366394343e-14,1.10620611394749e-10
"COHM2CO2H",6.26041925520808e-05,6.23692750972526e-05,6.28565648318067e-05,0.978473615044836,9.32216212170627e-22,0.0102126741765215,0.00549249359209081,2.72072070260792e-15,2.20139574841611e-10
"HO3C4O2",0.000134249268655893,0.00011519367673582,0.000154720728207131,0.965846184011162,0,0.0237881975288289,0.129989015012816,1.22367981392676e-14,0
"CO3C4CO2H",3.37761402165068e-05,3.57473837337523e-05,3.16584294627188e-05,0.942791000425883,0,0.00818329456560233,0,3.4568807793645e-18,2.69672150837525e-15
"HO1C4O",8.90219326315035e-05,8.86742166240843e-05,8.93954846161943e-05,0.935104250384445,0,0.0202590393422468,0.0113511534236543,6.91376155872899e-18,2.64876999418909e-18
"INB1HPCO3",0.000514089993342198,0.000222563032615262,0.000827277975623153,0.872715399055622,0,0.0138063549606011,0.00952032222629074,1.84231680302839e-18,3.47120869524551e-12
"MACRNBCO3H",0.000142821555459541,0.000127414152772557,0.000159373758205024,0.956058025241519,0,0.0123733158836853,0.0102526547052362,2.39827579991171e-18,4.00070114824518e-17
"PECO",0.000171475606571521,6.28848817269234e-05,0.000288134833984663,0.918078114021182,0,0.0141122799979024,0.0259978030025632,6.35780256184567e-18,8.23793477705864e-15
"MPRKNO3",3.33021642571078e-05,3.52876232423716e-05,3.11691817983128e-05,0.922384607187413,1.84030687212314e-21,0.00603808725644266,0,1.19913789995585e-18,1.32438499709454e-18
"C5PAN19",0.00590370421157063,0.0074584709103492,0.00423341531584076,0.238531036439515,0,0.0195362691335838,0,3.55008540911319e-11,3.47750875547994e-15
"C5PAN18",0.000101708130992762,0.000117133371859119,8.51367646564009e-05,0.91844666006841,5.81851755118966e-21,0.0143221480310863,0,6.10167004539185e-14,6.92812122033396e-18
"HO13C5O2",8.9477337906963e-05,2.87973473361529e-05,0.000154665970081193,0.9546762903307,0,0.0189579577931323,0.0662760893445624,1.39298383477277e-18,0
"MVKOHBO2",7.45928940700667e-05,2.88314089426363e-05,0.00012375454676079,0.966066995763818,1.1868433463694e-21,0.00600654257143328,0.00549249359209081,2.93978731937234e-11,0
"C5PAN17",0.00332977802190259,0.00420309597668959,0.00239157084042115,0.354005169662296,0,0.0192445560735735,0,2.11945557063579e-11,1.86247680363995e-16
"C5PAN16",9.23475869974739e-05,9.0941743857923e-05,9.38578870231786e-05,0.899900356742983,1.14832616678979e-22,0.0125582403133997,0,3.4568807793645e-18,3.19229707150768e-18
"HOC3H6CO3H",3.90470118535249e-05,4.63308464592521e-05,3.12219741357522e-05,0.946805903219465,0,0.0103875389320717,0,3.4568807793645e-18,0
"C2H6",0.00365402286767785,0,0.00757954675844558,0.151053585748129,0,0.00534980099651861,0,5.99568949977927e-19,5.08792072716273e-15
"C525O2",0.000104602885258827,0,0.000216977968830132,0.912700727055964,0,0.00534980099651861,0,1.19913789995585e-18,0
"C2H4",9.36511391447927e-05,6.20876427555039e-05,0.000127559864853194,0.976992110874384,1.78242569606852e-21,0.00651539274506277,0.108751373123398,2.93717912986475e-11,5.21360139444437e-07
"HCOCOHCO3",5.96487360466668e-05,2.87929936652025e-05,9.2797120244598e-05,0.94833233994142,6.18536854163517e-21,0.0130368367047249,0.00256316367630904,2.39827579991171e-18,4.65865703450671e-11
"INB1NBCO3",0.000180843182593825,9.11306210216973e-05,0.000277221562397771,0.923324467584488,0,0.0135236734768522,0.00988648846576346,1.84231680302839e-18,3.5605232599724e-11
"C57NO3",0.000785671091128934,0.000652421837098384,0.000928821024521746,0.892700224934238,0,0.0105251992494442,0.0765287440497986,1.84231680302839e-18,1.15449018758854e-09
"HO3C3PAN",2.9849866409633e-05,2.88193704737624e-05,3.09569302026326e-05,0.931119477164154,0,0.0100379737276246,0,3.4568807793645e-18,1.02307228970108e-15
"NISOPOOH",3.18497238056381e-05,3.26915026063716e-05,3.09453991988464e-05,0.936826811721942,0,0.00629003309133721,0,5.71462365877314e-18,0
"HIEB2OOH",7.70354858719705e-05,6.16418832334346e-05,9.35728631985005e-05,0.978363992346909,7.07071917083631e-23,0.00999430459240509,0.00512632735261809,2.39827579991171e-18,2.18899669749912e-10
"HO14CO2C5",4.49248335088072e-05,2.9152732116733e-05,6.18688327841988e-05,0.95702140997922,3.21420203531738e-22,0.00897921404408763,0.0468692786525082,2.95423479679503e-18,1.87461787127303e-10
"HO3C4OOH",4.47675596249766e-05,2.88453030156588e-05,6.18728709430013e-05,0.953889505560664,0,0.00939959963839139,0,5.21197767620367e-18,0
"CO2C54O2",0.000617404576079295,0.000574912501318126,0.000663053894839377,0.942355514134521,1.63349403622576e-21,0.0141628362172144,0.0366166239472721,2.26271721773143e-13,0
"HCOCH2O",0.000902142012770197,0.000483752065758583,0.00135161914855366,0.956236565836215,0,0.0263700514213105,0,2.18549328485364e-09,1.13739818854887e-05
"C525O",9.43092982108651e-05,6.00261469000549e-05,0.000131139754503799,0.932196005941658,0,0.0138605899415076,0.00512632735261809,2.39827579991171e-18,3.9716809126029e-10
"C58NO3CO3H",0.000298582690585716,0.000279819722291954,0.000318739784004699,0.93005578050889,9.06290272954506e-22,0.0116556835687139,0.00219699743683632,1.99372749543834e-15,1.01514561637886e-12
"CO24C53O",9.19698425953334e-05,6.28725537793475e-05,0.000123229116699524,0.942645217843549,9.46406730950022e-21,0.00860570266885376,0.00476016111314537,3.2102986535232e-14,1.00158014287345e-09
"INANCO",9.445273994776e-05,5.11614278562314e-05,0.000140960680930071,0.949335485483788,4.49453186695358e-22,0.00620145444812102,0.0443061149761992,7.23737515205786e-11,3.02980239294094e-12
"C4CHOBO",6.09145534116309e-05,8.68657458624343e-05,3.30351367663048e-05,0.957386041135394,0,0.0159408472198836,0.0179421457341633,2.39827579991171e-18,0
"CO3C4CHO",0.000107191470665498,0.00011836152084574,9.51914639793106e-05,0.979656696287777,1.03493724752598e-21,0.0236023512817018,0.0955693885023801,1.22467277767217e-14,2.24325211750001e-10
