name,PAN,Carb. Acid,Per. Acid,Hydro peroxide,Nitrate,Aldehyde,Ketone,Alcohol,Alkoxy rad,Peroxalkyl rad,Peroxyacyl rad,No functional,nogroups
HO3C86O,0,0,0,0,0,0,0,1,0,0,0,16,0
H3C25C6OH,0,0,0,0,0,0,2,1,0,0,0,18,0
H3C25C6CO3,0,1,0,0,0,0,3,1,0,0,0,26,0
C96O2,0,0,0,0,0,0,1,0,0,0,0,21,0
H3C25C6O2,0,0,0,0,0,0,2,1,0,1,0,21,0
C716OH,0,0,0,0,0,1,2,1,0,0,0,20,0
HO13C4OOH,0,0,0,1,0,0,0,1,0,0,0,10,0
C98O2,0,0,0,0,0,0,2,0,0,0,0,28,0
PERPROACID,0,0,1,0,0,0,1,0,0,0,0,9,0
HO3C3CO3,0,1,0,0,0,0,1,1,0,0,1,15,0
NC102O,0,0,0,0,1,1,1,0,0,0,0,37,0
CH3O2NO2,0,0,0,0,1,0,0,0,0,0,0,10,0
C83O,0,0,0,0,0,0,3,0,0,0,0,25,0
H1C23C4PAN,1,0,0,0,1,0,3,0,0,0,0,27,0
C511OOH,0,0,0,0,0,1,1,0,0,0,0,15,0
CH3CO3H,0,0,1,0,0,0,1,0,0,0,0,8,0
DIEKBO,0,0,0,0,0,0,1,0,0,0,0,12,0
C811CO3H,0,1,0,0,0,0,2,0,0,0,0,24,0
NC4H9O,0,0,0,0,0,0,0,0,1,0,0,7,0
HO3C4O,0,0,0,0,0,0,0,1,1,0,0,10,0
APINBOH,0,0,0,0,0,0,0,0,0,0,0,18,0
APINBOO,0,0,0,0,0,0,1,0,0,0,0,26,0
H1C23C4O2,0,0,0,0,0,0,2,0,0,0,0,17,0
NC61CO3H,0,0,1,0,1,1,3,0,0,0,0,35,0
C4CHOBO2,0,0,0,0,0,1,0,0,0,0,0,13,0
C5PAN9,0,0,0,0,0,0,3,0,0,0,0,26,0
C5PAN8,1,0,0,0,1,0,1,1,0,0,0,21,0
NBUTOLAO,0,0,0,0,0,0,0,0,0,0,0,10,0
C720OOH,0,0,0,0,0,0,0,1,0,0,0,15,0
C89PAN,1,0,0,0,1,1,1,0,0,0,0,28,0
HO13C5OOH,0,0,0,0,0,0,0,1,0,0,0,13,0
HOCO3C54O,0,0,0,0,0,0,1,0,0,0,0,15,0
C82NO3,0,0,0,0,1,0,1,1,0,0,0,25,0
C5PAN2,1,0,0,0,1,0,2,0,0,0,0,22,0
C614OH,0,0,0,0,0,0,2,1,0,0,0,18,0
H3C25CCO3H,0,0,0,0,0,0,3,1,0,0,0,24,0
HCOCO3,0,1,0,0,0,1,1,0,0,0,0,12,0
HCOCH2O2,0,0,0,0,0,1,0,0,0,0,0,8,0
HO2C5OH,0,0,0,0,0,0,0,0,0,0,0,9,0
NC3H7OOH,0,0,0,1,0,0,0,0,0,0,0,5,0
C614O2,0,0,0,0,0,0,2,0,0,1,0,21,0
CO36C8,0,0,0,0,0,0,2,0,0,0,0,16,0
C2H5O,0,0,0,0,0,0,0,0,1,0,0,5,0
APINOOB,0,0,0,0,0,0,1,0,0,0,0,26,0
APINOOA,0,0,0,0,0,1,0,0,0,0,0,26,0
APINBO2,0,0,0,0,0,0,0,0,0,0,0,21,0
PE1ENEBNO3,0,0,0,0,1,0,0,1,0,0,0,16,0
PINALNO3,0,0,0,0,1,1,1,0,0,0,0,30,0
C4OHCHO,0,0,0,0,0,1,0,1,0,0,0,10,0
APINBNO3,0,0,0,0,0,0,0,0,0,0,0,25,0
NC102OOH,0,0,0,0,1,0,2,0,0,0,0,34,0
HCOOH,0,0,0,0,0,1,0,0,0,0,0,4,0
C312COCO3H,0,0,0,0,0,1,2,0,0,0,0,16,0
HCOCO2H,0,1,0,0,0,1,1,0,0,0,0,9,0
ETHENO3O2,0,0,0,0,1,0,0,0,0,0,0,14,0
HCHO,0,0,0,0,0,1,0,0,0,0,0,3,0
HMVKAO2,0,0,0,0,0,0,1,1,0,1,0,15,0
C86OOH,0,0,0,0,0,1,1,0,0,0,0,22,0
MEKCOH,0,0,0,0,0,0,1,0,0,0,0,9,0
APINANO3,0,0,0,0,0,0,0,1,0,0,0,25,0
C514OOH,0,0,0,0,0,2,0,0,0,0,0,13,0
PEAO,0,0,0,0,0,0,0,0,1,0,0,8,0
H1C23C4CO3,0,1,0,0,0,0,3,0,0,0,0,22,0
IPROPOLPER,0,0,0,0,0,0,1,0,0,0,0,12,0
C920PAN,1,0,0,0,1,0,2,0,0,0,0,32,0
PENTACID,0,1,0,0,0,0,1,0,0,0,0,10,0
HO1C3NO3,0,0,0,0,1,0,0,0,0,0,0,12,0
C811PAN,0,1,0,0,0,0,2,0,0,0,0,31,0
C810NO3,0,0,0,0,1,2,0,0,0,0,0,26,0
C922O,0,0,0,0,0,0,2,0,0,0,0,28,0
HOCH2CO3,0,1,0,0,0,0,1,0,0,0,1,11,0
CHOC3COCO3,0,1,0,0,0,1,2,0,0,0,0,19,0
C81OOH,0,0,0,0,0,0,1,1,0,0,0,19,0
C97OH,0,0,0,0,0,0,1,0,0,0,0,21,0
HO13C5O,0,0,0,0,0,0,0,1,0,0,0,14,0
CH2OOA,0,0,0,0,0,0,0,0,0,0,0,9,0
APINAO,0,0,0,0,0,0,0,0,0,0,0,20,0
CH3O,0,0,0,0,0,0,0,0,1,0,0,4,0
C96CO3,0,1,0,0,0,0,2,0,0,0,0,26,0
HO3CO46C8,0,0,0,0,0,0,2,1,0,0,0,19,0
CO23C4CO3H,0,0,0,0,0,0,3,0,0,0,0,19,0
NC8H18,0,0,0,0,0,0,0,0,0,0,0,8,0
C921OOH,0,0,0,0,0,0,1,0,0,0,0,23,0
C922O2,0,0,0,0,0,0,2,0,0,0,0,29,0
H1C23C4CHO,0,0,0,0,0,1,2,0,0,0,0,16,0
HO1C5O,0,0,0,0,0,0,0,0,0,0,0,11,0
HC23C4CO3H,0,0,0,0,0,0,3,0,0,0,0,20,0
DIEKBOOH,0,0,0,1,0,0,1,0,0,0,0,11,0
C107O,0,0,0,0,0,1,1,0,0,0,0,25,0
CH3OOH,0,0,0,1,0,0,0,0,0,0,0,3,0
APINCNO3,0,0,0,0,0,0,0,1,0,0,0,28,0
MEKCO2,0,0,0,0,0,0,1,0,0,1,0,12,0
